GraphName,Nodes,Edges,HEFT_Makespan,CPOP_Makespan,MinMin_Makespan,MaxMin_Makespan,Marvelous_Makespan
CyberShake_Nodes_200_CCR_0.1,200,392,2052.904761904763,1091.6666666666667,2044.2380952380954,2089.947619047619,255.41666666666666
CyberShake_Nodes_50_CCR_1.0,50,92,749.952380952381,737.2380952380952,758.1666666666667,953.952380952381,297.9166666666667
CyberShake_Nodes_50_CCR_10.0,50,92,3141.1666666666665,8396.0,2433.6666666666665,3768.047619047619,293.58333333333337
Inspiral_Nodes_100_CCR_0.1,100,122,9632.82142857143,993.0,10208.309523809523,10164.380952380952,2199.75
Inspiral_Nodes_100_CCR_10.0,100,122,40618.009523809524,7406.0,46304.95238095238,74079.66666666666,2199.75
Inspiral_Nodes_200_CCR_0.1,200,241,19019.05952380952,574.0,19293.095238095237,19595.661904761906,2202.583333333333
Inspiral_Nodes_50_CCR_1.0,50,62,7803.6523809523815,2400.0,8639.833333333334,8845.5,1904.1666666666665
Montage_Nodes_100_CCR_0.1,100,236,502.33333333333337,13.0,505.33333333333337,516.4999999999999,101.58333333333333
Montage_Nodes_200_CCR_0.1,200,483,1019.1309523809525,13.0,1022.6666666666667,1031.2214285714285,142.08333333333331
Montage_Nodes_200_CCR_10.0,200,483,1761.988095238095,13.0,2239.714285714286,3173.9047619047624,142.08333333333331
Sipht_Nodes_100_CCR_1.0,97,109,12108.07857142857,2.0,13537.771428571426,12764.949999999999,5368.750000000001
Sipht_Nodes_100_CCR_10.0,97,109,68069.51666666666,2.0,56684.183333333334,61022.19285714286,5368.750000000001
Sipht_Nodes_200_CCR_0.1,194,218,15872.904761904763,1.0,16104.238095238095,16171.761904761901,6076.666666666666
Sipht_Nodes_50_CCR_0.1,48,56,5364.933333333333,1.0,7367.619047619048,5368.266666666666,6247.916666666666
Sipht_Nodes_50_CCR_1.0,48,56,9714.619047619048,1.0,10882.666666666666,9714.619047619048,6247.916666666666
